,Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
718,Audi,A3 35 TDI Premium,2600000,2017,64000,Diesel,Automatic,Chennai,Blue,First,Individual,1968,141,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
734,Audi,A3 35 TDI Premium,1800000,2014,76529,Diesel,Automatic,Pune,Blue,First,Individual,1968,141,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
910,Audi,A3 35 TDI Premium,2950000,2020,11000,Diesel,Automatic,Pune,White,First,Individual,1968,141,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
950,Audi,A3 35 TDI Premium,2900000,2019,15529,Diesel,Automatic,Mumbai,White,First,Individual,1968,141,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
605,Audi,A3 35 TDI Premium + Sunroof,2900000,2019,15530,Diesel,Automatic,Goa,White,First,Individual,1968,141,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
1186,Audi,A3 35 TDI Premium + Sunroof,1650000,2014,55000,Diesel,Automatic,Mumbai,White,First,Individual,1968,141,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
1333,Audi,A3 35 TDI Premium + Sunroof,1350000,2015,60000,Diesel,Automatic,Delhi,Black,First,Individual,1968,141,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
711,Audi,A3 35 TDI Premium Plus,2590000,2020,36978,Diesel,Automatic,Chandigarh,Blue,Second,Individual,1968,141,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
1543,Audi,A3 35 TDI Premium Plus,1390000,2014,85900,Diesel,Automatic,Agra,Brown,First,Individual,1968,141,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
1069,Audi,A3 35 TDI Premium Plus + Sunroof,2225000,2016,40500,Diesel,Automatic,Mumbai,White,First,Individual,1968,141,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
1531,Audi,A3 35 TDI Premium Plus + Sunroof,2380000,2019,36000,Diesel,Automatic,Jalandhar,White,Second,Individual,1968,141,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
1734,Audi,A3 35 TDI Premium Plus + Sunroof,2950000,2018,17300,Diesel,Automatic,Bangalore,Red,First,Individual,1968,141,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
72,Audi,A3 35 TDI Technology + Sunroof,2250000,2016,40500,Diesel,Automatic,Goa,White,First,Individual,1968,141,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
119,Audi,A3 35 TDI Technology + Sunroof,3050000,2020,40910,Diesel,Automatic,Bangalore,White,First,Individual,1968,141,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
