Sales_ID,name,year,selling_price,km_driven,Region,State or Province,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,sold,Car Age,car_company,car_model,car_new_name
1,Maruti Swift Dzire VDI,2014,450000,145500,East,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,190Nm@ 2000rpm,5,Y,11,Maruti,Swift,Dzire VDI
2,Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,East,New York,New York City,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,250Nm@ 1500-2500rpm,5,Y,11,Skoda,Rapid,1.5 TDI Ambition
3,Honda City 2017-2020 EXi,2006,158000,140000,Central,Illinois,Chicago,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,"12.7@ 2,700(kgm@ rpm)",5,Y,19,Honda,City,2017-2020 EXi
4,Hyundai i20 Sportz Diesel,2010,225000,127000,Central,Illinois,Chicago,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,22.4 kgm at 1750-2750rpm,5,Y,15,Hyundai,i20,Sportz Diesel
5,Maruti Swift VXI BSIII,2007,130000,120000,East,New York,New York City,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,"11.5@ 4,500(kgm@ rpm)",5,Y,18,Maruti,Swift,VXI BSIII
6,Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,East,New York,New York City,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,113.75nm@ 4000rpm,5,Y,8,Hyundai,Xcent,1.2 VTVT E Plus
7,Maruti Wagon R LXI DUO BSIII,2007,96000,175000,West,California,Los Angeles,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,"7.8@ 4,500(kgm@ rpm)",5,Y,18,Maruti,Wagon,R LXI DUO BSIII
8,Maruti 800 DX BSII,2001,45000,5000,West,California,Los Angeles,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,59Nm@ 2500rpm,4,Y,24,Maruti,800,DX BSII
9,Toyota Etios VXD,2011,350000,90000,West,California,Los Angeles,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,170Nm@ 1800-2400rpm,5,Y,14,Toyota,Etios,VXD
10,Ford Figo Diesel Celebration Edition,2013,200000,169000,Central,Texas,Houston,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,160Nm@ 2000rpm,5,Y,12,Ford,Figo,Diesel Celebration Edition
11,Renault Duster 110PS Diesel RxL,2014,500000,68000,East,New York,New York City,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,248Nm@ 2250rpm,5,Y,11,Renault,Duster,110PS Diesel RxL
12,Maruti Zen LX,2005,92000,100000,Central,Texas,Houston,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,78Nm@ 4500rpm,5,Y,20,Maruti,Zen,LX
13,Maruti Swift Dzire VDi,2009,280000,140000,Central,Texas,Houston,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,190Nm@ 2000rpm,5,Y,16,Maruti,Swift,Dzire VDi
15,Maruti Wagon R LXI Minor,2009,180000,90000,East,Massachusetts,Boston,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,84Nm@ 3500rpm,5,Y,16,Maruti,Wagon,R LXI Minor
16,Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,East,Massachusetts,Boston,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,115Nm@ 3500-3600rpm,5,Y,9,Mahindra,KUV,100 mFALCON G80 K8 5str
17,Maruti Ertiga SHVS VDI,2016,778000,70000,Central,Texas,Dallas,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,200Nm@ 1750rpm,7,Y,9,Maruti,Ertiga,SHVS VDI
18,Hyundai i20 1.4 CRDi Asta,2012,500000,53000,Central,Texas,Dallas,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,22.4 kgm at 1750-2750rpm,5,Y,13,Hyundai,i20,1.4 CRDi Asta
19,Maruti Alto LX,2002,150000,80000,Central,Texas,Dallas,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62Nm@ 3000rpm,5,Y,23,Maruti,Alto,LX
20,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,East,New York,New York City,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,219.7Nm@ 1500-2750rpm,5,Y,9,Hyundai,i20,2015-2017 Asta 1.4 CRDi
21,Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,East,New York,New York City,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,160Nm@ 2000rpm,5,Y,14,Mahindra,Verito,1.5 D4 BSIII
22,Honda WR-V i-DTEC VX,2017,950000,50000,East,New York,New York City,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,200Nm@ 1750rpm,5,Y,8,Honda,WR-V,i-DTEC VX
23,Maruti Swift Dzire ZDI,2015,525000,40000,Central,Texas,Dallas,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190Nm@ 2000rpm,5,Y,10,Maruti,Swift,Dzire ZDI
24,Maruti SX4 ZDI,2012,600000,72000,East,New York,New York City,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,200Nm@ 1750rpm,5,Y,13,Maruti,SX4,ZDI
25,Tata Tigor 2017-2020 XZ,2018,500000,35000,East,New York,New York City,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,114Nm@ 3500rpm,5,Y,7,Tata,Tigor,2017-2020 XZ
26,Maruti Baleno Delta 1.2,2016,575000,45000,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115Nm@ 4000rpm,5,Y,9,Maruti,Baleno,Delta 1.2
27,Maruti Alto 800 LXI,2017,275000,28000,West,Washington,Seattle,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,69Nm@ 3500rpm,5,Y,8,Maruti,Alto,800 LXI
28,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,East,Massachusetts,Boston,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,172.5Nm@ 1750rpm,7,Y,12,Chevrolet,Enjoy,TCDi LTZ 7 Seater
29,Maruti Wagon R LXI Minor,2009,220000,120000,South,Georgia,Atlanta,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,84Nm@ 3500rpm,5,Y,16,Maruti,Wagon,R LXI Minor
30,Maruti Omni E MPI STD BS IV,2018,254999,25000,East,New York,New York City,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,59Nm@ 2500rpm,8,Y,7,Maruti,Omni,E MPI STD BS IV
31,Maruti Vitara Brezza LDi Option,2017,670000,70000,Central,Illinois,Chicago,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5,Y,8,Maruti,Vitara,Brezza LDi Option
33,Maruti Omni 8 Seater BSIV,2012,150000,35000,Central,Illinois,Chicago,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,6.1kgm@ 3000rpm,5,Y,13,Maruti,Omni,8 Seater BSIV
34,Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,West,Washington,Seattle,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7Nm@ 4000rpm,5,Y,7,Hyundai,i20,1.2 Asta Dual Tone
35,Maruti Vitara Brezza LDi,2017,650000,16200,West,Washington,Seattle,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5,Y,8,Maruti,Vitara,Brezza LDi
36,Maruti Alto 800 CNG LXI Optional,2019,330000,10000,West,Washington,Seattle,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,60Nm@ 3500rpm,4,Y,6,Maruti,Alto,800 CNG LXI Optional
37,Maruti Alto K10 VXI Airbag,2019,366000,15000,West,Washington,Seattle,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,90Nm@ 3500rpm,5,Y,6,Maruti,Alto,K10 VXI Airbag
38,Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,East,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,151Nm@ 4850rpm,5,Y,6,Hyundai,Verna,VTVT 1.6 SX Option
39,Datsun GO D,2016,150000,42000,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,104Nm@ 4000rpm,5,Y,9,Datsun,GO,D
40,Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,South,North Carolina,Charlotte,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,320Nm@ 1700-2700rpm,7,Y,14,Tata,Safari,DICOR 2.2 LX 4x2
41,Maruti 800 Std,2012,150000,76000,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,59Nm@ 2500rpm,4,Y,13,Maruti,800,Std
42,Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,East,New York,New York City,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,250Nm@ 1750-2500rpm,5,Y,6,Jeep,Compass,1.4 Limited Plus BSIV
43,Honda City i VTEC VX,2018,925000,28900,East,New York,New York City,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,145Nm@ 4600rpm,5,Y,7,Honda,City,i VTEC VX
44,Honda City V MT,2013,425000,86300,East,New York,New York City,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,146Nm@ 4800rpm,5,Y,12,Honda,City,V MT
45,Maruti Swift Dzire VXi AT,2018,675000,23300,East,New York,New York City,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,115Nm@ 4000rpm,5,Y,7,Maruti,Swift,Dzire VXi AT
46,Maruti Vitara Brezza VDi,2018,819999,32600,Central,Illinois,Chicago,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5,Y,7,Maruti,Vitara,Brezza VDi
47,Maruti Alto K10 VXI,2018,390000,10300,East,New York,New York City,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,90Nm@ 3500rpm,5,Y,7,Maruti,Alto,K10 VXI
48,Toyota Fortuner 4x4 MT,2014,1500000,77000,West,Washington,Seattle,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,343Nm@ 1400-3400rpm,7,Y,11,Toyota,Fortuner,4x4 MT
49,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,East,New York,New York City,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,200Nm@ 1400-3400rpm,7,Y,12,Toyota,Innova,2.5 G (Diesel) 7 Seater BS IV
50,Mercedes-Benz B Class B180,2014,1450000,27800,East,New York,New York City,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,200Nm@ 1250-4000rpm,5,Y,11,Mercedes-Benz,B,Class B180
51,Honda Amaze S Diesel,2015,425000,49800,East,New York,New York City,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,200Nm@ 1750rpm,5,Y,10,Honda,Amaze,S Diesel
52,Mitsubishi Pajero Sport 4X4,2013,1090000,151000,West,Washington,Seattle,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,400Nm@ 2000-2500rpm,7,Y,12,Mitsubishi,Pajero,Sport 4X4
53,Honda City i DTEC S,2015,600000,54700,West,California,Los Angeles,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,200Nm@ 1750rpm,5,Y,10,Honda,City,i DTEC S
54,Maruti Ciaz Zeta,2018,850000,64000,East,New York,New York City,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,138Nm@ 4400rpm,5,Y,7,Maruti,Ciaz,Zeta
55,Honda Jazz VX Diesel,2015,525000,63000,South,Georgia,Atlanta,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,200Nm@ 1750rpm,5,Y,10,Honda,Jazz,VX Diesel
