,Brand,Car,Variant,Description,Price,Fuel Type,Mileage,Transmission,Engine,Puncture Repair Kit,Airbags,Parking Assist,Keyless Start/ Button Start,Interiors,Interior Colours,Sunroof / Moonroof,Headlights,Trip Meter,GPS Navigation System,Battery Warranty (In Years),Battery Warranty (In Kilometres),Warranty (In Years)
0,Maruti Suzuki,Maruti Fronx,Fronx Sigma 1.2L MT,"Maruti Fronx Sigma 1.2L MT is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 7.51 Lakh. It gives a mileage of 21.79 kmpl. Maruti Fronx Sigma 1.2L MT is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",751000.0,Petrol,21.79,Manual,1197.0,No,"2 Airbags (Driver, Front Passenger)",No,No,Dual Tone,-,No,Halogen Projector,Electronic 2 Trips,No,Not Applicable,Not Applicable,Not Applicable
1,Maruti Suzuki,Maruti Fronx,Fronx Delta 1.2L MT,"Maruti Fronx Delta 1.2L MT is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 8.37 Lakh. It gives a mileage of 21.79 kmpl. Maruti Fronx Delta 1.2L MT is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",836999.9999999999,Petrol,21.79,Manual,1197.0,No,"2 Airbags (Driver, Front Passenger)",No,No,Dual Tone,-,No,Halogen Projector,Electronic 2 Trips,No,Not Applicable,Not Applicable,Not Applicable
2,Maruti Suzuki,Maruti Fronx,Fronx Sigma 1.2 CNG,"Maruti Fronx Sigma 1.2 CNG is the cng variant in the Maruti Fronx lineup and is priced at Rs. 8.46 Lakh. It gives a mileage of 28.51 km/kg. Maruti Fronx Sigma 1.2 CNG is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",846000.0000000001,CNG,28.51,Manual,1197.0,No,"2 Airbags (Driver, Front Passenger)",No,No,Dual Tone,-,No,Halogen Projector,Electronic 2 Trips,No,Not Applicable,Not Applicable,Not Applicable
3,Maruti Suzuki,Maruti Fronx,Fronx Delta Plus 1.2L MT,"Maruti Fronx Delta Plus 1.2L MT is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 8.77 Lakh. It gives a mileage of 21.79 kmpl. Maruti Fronx Delta Plus 1.2L MT is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",877000.0,Petrol,21.79,Manual,1197.0,No,"2 Airbags (Driver, Front Passenger)",No,No,Dual Tone,-,No,LED,Electronic 2 Trips,No,Not Applicable,Not Applicable,Not Applicable
4,Maruti Suzuki,Maruti Fronx,Fronx Delta 1.2L AGS,"Maruti Fronx Delta 1.2L AGS is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 8.85 Lakh. It gives a mileage of 22.89 kmpl. Maruti Fronx Delta 1.2L AGS is available in Automatic (AMT) transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",885000.0,Petrol,22.89,Automatic,1197.0,No,"2 Airbags (Driver, Front Passenger)",No,No,Dual Tone,-,No,Halogen Projector,Electronic 2 Trips,No,Not Applicable,Not Applicable,Not Applicable
5,Maruti Suzuki,Maruti Fronx,Fronx Delta Plus (O) 1.2L MT,"Maruti Fronx Delta Plus (O) 1.2L MT is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 8.93 Lakh. It gives a mileage of 21.79 kmpl. Maruti Fronx Delta Plus (O) 1.2L MT is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",893000.0,Petrol,21.79,Manual,1197.0,Yes,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No,No,Dual Tone,-,No,LED,Electronic 2 Trips,No,Not Applicable,Not Applicable,Not Applicable
6,Maruti Suzuki,Maruti Fronx,Fronx Delta Plus 1.2L AGS,"Maruti Fronx Delta Plus 1.2L AGS is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 9.25 Lakh. It gives a mileage of 22.89 kmpl. Maruti Fronx Delta Plus 1.2L AGS is available in Automatic (AMT) transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",925000.0,Petrol,22.89,Automatic,1197.0,No,"2 Airbags (Driver, Front Passenger)",No,No,Dual Tone,-,No,LED,Electronic 2 Trips,No,Not Applicable,Not Applicable,Not Applicable
7,Maruti Suzuki,Maruti Fronx,Fronx Delta 1.2 CNG,"Maruti Fronx Delta 1.2 CNG is the cng variant in the Maruti Fronx lineup and is priced at Rs. 9.32 Lakh. It gives a mileage of 28.51 km/kg. Maruti Fronx Delta 1.2 CNG is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",932000.0,CNG,28.51,Manual,1197.0,No,"2 Airbags (Driver, Front Passenger)",No,No,Dual Tone,-,No,Halogen Projector,Electronic 2 Trips,No,Not Applicable,Not Applicable,Not Applicable
8,Maruti Suzuki,Maruti Fronx,Fronx Delta Plus (O) 1.2L AGS,"Maruti Fronx Delta Plus (O) 1.2L AGS is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 9.41 Lakh. It gives a mileage of 22.89 kmpl. Maruti Fronx Delta Plus (O) 1.2L AGS is available in Automatic (AMT) transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",941000.0,Petrol,22.89,Automatic,1197.0,Yes,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No,No,Dual Tone,-,No,LED,Electronic 2 Trips,No,Not Applicable,Not Applicable,Not Applicable
9,Maruti Suzuki,Maruti Fronx,Fronx Delta Plus 1.0 Turbo MT,"Maruti Fronx Delta Plus 1.0 Turbo MT is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 9.73 Lakh. It gives a mileage of 21.5 kmpl. Maruti Fronx Delta Plus 1.0 Turbo MT is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",973000.0,Petrol,21.5,Manual,998.0,No,"2 Airbags (Driver, Front Passenger)",No,No,Dual Tone,-,No,LED,Electronic 2 Trips,Yes,Not Applicable,Not Applicable,Not Applicable
10,Maruti Suzuki,Maruti Fronx,Fronx Zeta 1.0L Turbo MT,"Maruti Fronx Zeta 1.0L Turbo MT is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 10.55 Lakh. It gives a mileage of 21.5 kmpl. Maruti Fronx Zeta 1.0L Turbo MT is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",1055000.0,Petrol,21.5,Manual,998.0,No,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",Reverse Camera,Yes,Dual Tone,-,No,LED,Electronic 2 Trips,Yes,Not Applicable,Not Applicable,Not Applicable
11,Maruti Suzuki,Maruti Fronx,Fronx Alpha 1.0L Turbo MT,"Maruti Fronx Alpha 1.0L Turbo MT is the petrol variant in the Maruti Fronx lineup and is priced at Rs. 11.47 Lakh. It gives a mileage of 21.5 kmpl. Maruti Fronx Alpha 1.0L Turbo MT is available in Manual transmission and offered in 6 colours: Nexa Blue (Celestial), Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver and Arctic White.
Read More",1147000.0,Petrol,21.5,Manual,998.0,No,"6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",360 Degree Camera,Yes,Dual Tone,-,No,LED,Electronic 2 Trips,Yes,Not Applicable,Not Applicable,Not Applicable
